date,name,company_value,terrain_type,seed,source,money,name_and_source
1975-01-01,trAIns AI,13149611,Flat,0,OpenTTDLab,12517785.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,1216225,Flat,0,OpenTTDLab,966319.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4457634,Mountainous,0,OpenTTDLab,3741097.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3628915,Mountainous,0,OpenTTDLab,3285752.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2567738,Flat,1,OpenTTDLab,2323881.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6624137,Flat,1,OpenTTDLab,6012357.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,10755645,Mountainous,1,OpenTTDLab,10188798.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,1790712,Mountainous,1,OpenTTDLab,1315464.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1905324,Flat,2,OpenTTDLab,1624107.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2731075,Flat,2,OpenTTDLab,2523869.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1544347,Mountainous,2,OpenTTDLab,1164097.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3931561,Mountainous,2,OpenTTDLab,3514976.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5965076,Flat,3,OpenTTDLab,5765909.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4540306,Flat,3,OpenTTDLab,4201472.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7013107,Mountainous,3,OpenTTDLab,6747099.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4123135,Mountainous,3,OpenTTDLab,3367026.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1991877,Flat,4,OpenTTDLab,1614725.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,8572173,Flat,4,OpenTTDLab,8231852.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6218241,Mountainous,4,OpenTTDLab,5569538.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5540055,Mountainous,4,OpenTTDLab,5341857.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,12449060,Flat,5,OpenTTDLab,11864925.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3573021,Flat,5,OpenTTDLab,3361247.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2834937,Mountainous,5,OpenTTDLab,2543664.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6563398,Mountainous,5,OpenTTDLab,5941037.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4737829,Flat,6,OpenTTDLab,4430749.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7309917,Flat,6,OpenTTDLab,6521471.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4403780,Mountainous,6,OpenTTDLab,4119524.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4459196,Mountainous,6,OpenTTDLab,3813039.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4225251,Flat,7,OpenTTDLab,3711911.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6698207,Flat,7,OpenTTDLab,5960480.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1982539,Mountainous,7,OpenTTDLab,1847603.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3111598,Mountainous,7,OpenTTDLab,2967009.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,10539906,Flat,8,OpenTTDLab,10115674.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5643135,Flat,8,OpenTTDLab,5289106.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5016111,Mountainous,8,OpenTTDLab,4119958.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6151004,Mountainous,8,OpenTTDLab,5908244.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,11762629,Flat,9,OpenTTDLab,10704512.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4496987,Flat,9,OpenTTDLab,3918310.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3513326,Mountainous,9,OpenTTDLab,2848365.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3078990,Mountainous,9,OpenTTDLab,2865830.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2302215,Flat,10,OpenTTDLab,1838518.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3854811,Flat,10,OpenTTDLab,3228511.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,8577134,Mountainous,10,OpenTTDLab,8188970.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2868837,Mountainous,10,OpenTTDLab,2673247.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5015936,Flat,11,OpenTTDLab,4485910.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6266808,Flat,11,OpenTTDLab,5652646.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5510925,Mountainous,11,OpenTTDLab,5136672.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2717404,Mountainous,11,OpenTTDLab,2380257.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6108344,Flat,12,OpenTTDLab,5533334.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,1430726,Flat,12,OpenTTDLab,1149401.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6339122,Mountainous,12,OpenTTDLab,5996958.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4838186,Mountainous,12,OpenTTDLab,4473564.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6720556,Flat,13,OpenTTDLab,6588004.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5954754,Flat,13,OpenTTDLab,5717282.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1853632,Mountainous,13,OpenTTDLab,1641634.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7345240,Mountainous,13,OpenTTDLab,7095174.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2332468,Flat,14,OpenTTDLab,2052136.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3972417,Flat,14,OpenTTDLab,3656967.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,9844987,Mountainous,14,OpenTTDLab,9268978.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5011166,Mountainous,14,OpenTTDLab,4270500.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3882688,Flat,15,OpenTTDLab,3699845.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,8086361,Flat,15,OpenTTDLab,7271404.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,8907131,Mountainous,15,OpenTTDLab,8586169.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6434290,Mountainous,15,OpenTTDLab,5378110.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,8353722,Flat,16,OpenTTDLab,8021775.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4835358,Flat,16,OpenTTDLab,4140472.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4923228,Mountainous,16,OpenTTDLab,4081874.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6966717,Mountainous,16,OpenTTDLab,6709415.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5199705,Flat,17,OpenTTDLab,5024267.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7067730,Flat,17,OpenTTDLab,6214282.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3808590,Mountainous,17,OpenTTDLab,3367795.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3775414,Mountainous,17,OpenTTDLab,3505954.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2299119,Flat,18,OpenTTDLab,2545184.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5347619,Flat,18,OpenTTDLab,4341103.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1809330,Mountainous,18,OpenTTDLab,1662718.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,1228389,Mountainous,18,OpenTTDLab,1107713.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2764441,Flat,19,OpenTTDLab,2202083.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4305026,Flat,19,OpenTTDLab,3460842.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,871007,Mountainous,19,OpenTTDLab,916248.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6108889,Mountainous,19,OpenTTDLab,5840863.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,14733466,Flat,20,OpenTTDLab,14248658.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5291012,Flat,20,OpenTTDLab,4980501.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2445506,Mountainous,20,OpenTTDLab,2000450.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3080544,Mountainous,20,OpenTTDLab,2802759.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3590907,Flat,21,OpenTTDLab,3176378.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4788642,Flat,21,OpenTTDLab,4005623.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3206016,Mountainous,21,OpenTTDLab,2808691.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2608145,Mountainous,21,OpenTTDLab,2465532.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4638694,Flat,22,OpenTTDLab,4477577.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4846706,Flat,22,OpenTTDLab,4126765.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2767424,Mountainous,22,OpenTTDLab,2645203.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7250034,Mountainous,22,OpenTTDLab,6445732.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,15471625,Flat,23,OpenTTDLab,14940514.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2128867,Flat,23,OpenTTDLab,1676753.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5083530,Mountainous,23,OpenTTDLab,4792585.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,1875580,Mountainous,23,OpenTTDLab,1741879.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6057788,Flat,24,OpenTTDLab,5601845.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4509432,Flat,24,OpenTTDLab,4241756.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4287770,Mountainous,24,OpenTTDLab,3836881.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2890048,Mountainous,24,OpenTTDLab,2179024.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4008891,Flat,25,OpenTTDLab,3827373.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6498567,Flat,25,OpenTTDLab,5715782.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,994688,Mountainous,25,OpenTTDLab,839471.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5698943,Mountainous,25,OpenTTDLab,5139420.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5640950,Flat,26,OpenTTDLab,4988605.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7956976,Flat,26,OpenTTDLab,7329686.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3730964,Mountainous,26,OpenTTDLab,3485375.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6068840,Mountainous,26,OpenTTDLab,5221876.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5652749,Flat,27,OpenTTDLab,4854201.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2967330,Flat,27,OpenTTDLab,2587199.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4924930,Mountainous,27,OpenTTDLab,4574251.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,9218681,Mountainous,27,OpenTTDLab,8604915.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6363461,Flat,28,OpenTTDLab,5758197.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5125231,Flat,28,OpenTTDLab,4768469.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,416415,Mountainous,28,OpenTTDLab,430741.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5675874,Mountainous,28,OpenTTDLab,5187730.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4980740,Flat,29,OpenTTDLab,4470596.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4217349,Flat,29,OpenTTDLab,3516726.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3452577,Mountainous,29,OpenTTDLab,2962277.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5592534,Mountainous,29,OpenTTDLab,5300194.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3604294,Flat,30,OpenTTDLab,3304397.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4397736,Flat,30,OpenTTDLab,3710419.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,8913577,Mountainous,30,OpenTTDLab,8495265.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,14402,Mountainous,30,OpenTTDLab,166983.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6793826,Flat,31,OpenTTDLab,6156419.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7396905,Flat,31,OpenTTDLab,6589692.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,8918348,Mountainous,31,OpenTTDLab,8345314.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4513352,Mountainous,31,OpenTTDLab,4219202.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1553022,Flat,32,OpenTTDLab,1419751.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7514169,Flat,32,OpenTTDLab,6960651.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1,Mountainous,32,OpenTTDLab,128669.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7717882,Mountainous,32,OpenTTDLab,6966742.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4069627,Flat,33,OpenTTDLab,3509095.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2125172,Flat,33,OpenTTDLab,1914506.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3030280,Mountainous,33,OpenTTDLab,2855510.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4826734,Mountainous,33,OpenTTDLab,4561822.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4877006,Flat,34,OpenTTDLab,4724474.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,8909597,Flat,34,OpenTTDLab,7904845.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6972048,Mountainous,34,OpenTTDLab,6438516.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5444743,Mountainous,34,OpenTTDLab,5161773.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1359008,Flat,35,OpenTTDLab,1279650.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5742790,Flat,35,OpenTTDLab,4985402.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3656829,Mountainous,35,OpenTTDLab,3220961.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6701404,Mountainous,35,OpenTTDLab,6261501.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,12211508,Flat,36,OpenTTDLab,11623748.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2494986,Flat,36,OpenTTDLab,2294114.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3991167,Mountainous,36,OpenTTDLab,3444400.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2236775,Mountainous,36,OpenTTDLab,2038488.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4856812,Flat,37,OpenTTDLab,4267582.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,8083520,Flat,37,OpenTTDLab,7767880.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2357524,Mountainous,37,OpenTTDLab,2106571.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5877398,Mountainous,37,OpenTTDLab,5678763.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5364341,Flat,38,OpenTTDLab,4952543.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6480041,Flat,38,OpenTTDLab,5659310.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2504590,Mountainous,38,OpenTTDLab,2289014.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5143860,Mountainous,38,OpenTTDLab,4327139.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,10668668,Flat,39,OpenTTDLab,10210505.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6986658,Flat,39,OpenTTDLab,5877480.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5438583,Mountainous,39,OpenTTDLab,5251969.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3295049,Mountainous,39,OpenTTDLab,3077786.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2160585,Flat,40,OpenTTDLab,2009944.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6027411,Flat,40,OpenTTDLab,5269486.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3158284,Mountainous,40,OpenTTDLab,2699668.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3382348,Mountainous,40,OpenTTDLab,2923911.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7492218,Flat,41,OpenTTDLab,7074540.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7353636,Flat,41,OpenTTDLab,6911537.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7982069,Mountainous,41,OpenTTDLab,7387567.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4189899,Mountainous,41,OpenTTDLab,3994065.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4636423,Flat,42,OpenTTDLab,4072943.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4947363,Flat,42,OpenTTDLab,4131713.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2411163,Mountainous,42,OpenTTDLab,2042502.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3728936,Mountainous,42,OpenTTDLab,3486821.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3062460,Flat,43,OpenTTDLab,2701603.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,4965588,Flat,43,OpenTTDLab,4626784.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5586652,Mountainous,43,OpenTTDLab,5368993.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3832696,Mountainous,43,OpenTTDLab,3411071.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4200156,Flat,44,OpenTTDLab,3550257.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5294532,Flat,44,OpenTTDLab,4626226.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5530272,Mountainous,44,OpenTTDLab,5215419.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,10687018,Mountainous,44,OpenTTDLab,10081096.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,8525801,Flat,45,OpenTTDLab,7664360.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6105898,Flat,45,OpenTTDLab,5452320.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3552250,Mountainous,45,OpenTTDLab,3391785.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3426862,Mountainous,45,OpenTTDLab,2986923.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6418219,Flat,46,OpenTTDLab,5996410.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7148222,Flat,46,OpenTTDLab,6480981.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7868655,Mountainous,46,OpenTTDLab,6365994.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,783958,Mountainous,46,OpenTTDLab,585315.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2029220,Flat,47,OpenTTDLab,1859289.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,8923154,Flat,47,OpenTTDLab,7895885.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,5984688,Mountainous,47,OpenTTDLab,5695971.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,7202544,Mountainous,47,OpenTTDLab,6737505.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7497612,Flat,48,OpenTTDLab,7233575.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,9201984,Flat,48,OpenTTDLab,8427314.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1342992,Mountainous,48,OpenTTDLab,1262052.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3221738,Mountainous,48,OpenTTDLab,2750772.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6986779,Flat,49,OpenTTDLab,6457587.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6068269,Flat,49,OpenTTDLab,5356751.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6492219,Mountainous,49,OpenTTDLab,5987896.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2721501,Mountainous,49,OpenTTDLab,2320873.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2786984,Flat,50,OpenTTDLab,2728432.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,8541812,Flat,50,OpenTTDLab,7494776.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4083372,Mountainous,50,OpenTTDLab,3755780.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,2854192,Mountainous,50,OpenTTDLab,1678933.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3016670,Flat,51,OpenTTDLab,2603873.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3723967,Flat,51,OpenTTDLab,3487593.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4569694,Mountainous,51,OpenTTDLab,3441741.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3227773,Mountainous,51,OpenTTDLab,2668702.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7825422,Flat,52,OpenTTDLab,7356639.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6703839,Flat,52,OpenTTDLab,6398738.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,4399916,Mountainous,52,OpenTTDLab,3826755.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3864516,Mountainous,52,OpenTTDLab,3418809.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,7257859,Flat,53,OpenTTDLab,6612706.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,3543873,Flat,53,OpenTTDLab,3320139.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,6826822,Mountainous,53,OpenTTDLab,5625474.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,1245364,Mountainous,53,OpenTTDLab,1168918.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,9828330,Flat,54,OpenTTDLab,9267637.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6436491,Flat,54,OpenTTDLab,5812411.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,3214518,Mountainous,54,OpenTTDLab,3052432.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,6140287,Mountainous,54,OpenTTDLab,5740877.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,2183112,Flat,55,OpenTTDLab,1954241.0,trAIns AI (OpenTTDLab)
1975-01-01,Admiral AI,5087067,Flat,55,OpenTTDLab,4221824.0,Admiral AI (OpenTTDLab)
1975-01-01,trAIns AI,1,Mountainous,55,OpenTTDLab,110423.0,trAIns AI (OpenTTDLab)
